再生順,曲名,表示名,ユーザーID,時間(秒),URL,ソース
1,（2264）新曲「アナル移動」【アポーTV・芸人アポー】,ثيوچان,TheoChan_AD392,45.0,https://www.youtube.com/watch?v=tMODf8JSAbU,リプ
2,ブッChip あ〜ダメダメdamage　【KBTIToon】,りどあ,lidoa_00,118.0,https://www.youtube.com/watch?v=fttm9XOaj3k,リプ
3,淫夢と混ざってすぐ荒れる～狂気のHikakin_Mania,無_ mania,_mania1919,137.0,https://www.youtube.com/watch?v=o1ER0BKjsHU,リプ
4,ニコニコ用の動画作成中,mani83073,mani83073,54.0,https://x.com/mani83073/status/2083550939110359490,DM
5,Official髭男dism - ペンディング・マシーン［Official Video］,ビビンバ_mania,Onigata_mania,248.0,https://www.youtube.com/watch?v=4BVd6TK8_EQ,リプ
6,野獣先輩の生理事情 part2,佐倉芽瑠,reisentyansuki,126,https://www.nicovideo.jp/watch/sm43919132,リプ
7,オオエノバトルロイヤル,ネオるりま,sineyama_,185.0,https://www.youtube.com/watch?v=MV8sddlzHII,リプ
8,いえない / 重音テトSV【MV】,女性キンTV,saburoku_mania,130.0,https://www.youtube.com/watch?v=CVFmiIareJs,リプ
9,HIKAKIN & SEIKIN - コール,陰謀論_mania,MJzWM89LQA98608,365.0,https://www.youtube.com/watch?v=bR88P1rui7g,リプ
10,米津玄師　MV『ゴーゴー幽霊船』,あむあむ,amam2023181931,233.0,https://www.youtube.com/watch?v=2PqxOytUjz0,リプ
11,バカ腋臭,匿名,DM,165.0,https://www.youtube.com/watch?v=g1B212tGl_Y,DM
12,【Hamas】Convulse Israel's Security,ミール・シャー,J0XtUuH6i830192,304.0,https://www.nicovideo.jp/watch/sm35929371,リプ
13,[HD] Tommy february6 - ♥Lonely in Gorgeous♥,マキマニ,JJ_U_A8,254.0,https://www.youtube.com/watch?v=UHL9FeoytAk,リプ
14,マオォ何ー？／かいはつマニア 再うｐ,さり@モコマー,hikainsuki,78.0,https://www.nicovideo.jp/watch/sm42834808,リプ
15,野獣の光の中で,rn9ze,rn9ze,95.0,https://www.youtube.com/watch?v=08RvqHpmJTc,リプ
16,『back shot』/ 音田雅則,ほくほくポテト_mania,potato_mania810,185.0,https://www.youtube.com/watch?v=XMkQggvVFsE,リプ
17,崩壊3rd公式MV 「永遠なる薪炎」挿入歌「Moon Halo」,erialsan,MCtech_Ringo,207.0,https://www.youtube.com/watch?v=VceZ7xrG4bk,リプ
18,【音MAD】A『V』A　/　オシッコモンスター設X・Y,大人向けmania,adultmanikun,88.0,https://www.youtube.com/watch?v=a1wPiJv8KsU,リプ
19,サクマニ　/　さくれいマニア,さり@モコマー,hikainsuki,49.0,https://www.nicovideo.jp/watch/sm37905984,リプ
20,【初音ミク】 Alias 【オリジナル曲】,マヨルカ島_mania,yasuna_mania000,165.0,https://www.youtube.com/watch?v=vX9mfA2TzOc,リプ
21,Koi to Byounetsu,深紺🔩🔢,hikamer_nos,263.0,https://www.youtube.com/watch?v=uAPkivh6Jlo,リプ
22,DA PUMP / P.A.R.T.Y. ～ユニバース・フェスティバル～ Long version,東武宇都マニア,tobuutsunomania,275.0,https://www.youtube.com/watch?v=46S6Ulzchbo,リプ
23,GENJITSU IS DEAD (REIMEI SESSION),バカマニ,Bakakin_mania,124.0,https://www.youtube.com/watch?v=taWYNSz2IF0,リプ
24,？？？,日曜日始まった！bot,startnichiyoubi,58.0,https://www.youtube.com/watch?v=NWSIQgpCdyE,リプ
25,【東方ヴォーカルPV】幻想のサテライト【豚乙女公式】,いざマニ,izayoi_mania,232.0,https://www.youtube.com/watch?v=FvJPua224gM,リプ
26,セブンティーン,あむあむ,amam2023181931,200.0,https://www.youtube.com/watch?v=xhgYtfanNLA,リプ
27,【中日歌詞】Fate/Grand Order -Cosmos in the Lostbelt OP/ Opening - 「逆光」坂本真綾,じーぴーびー【ジャンヌオルタ朝霧スオウ推し】,gpbcdeee21584,289.0,https://www.youtube.com/watch?v=ik9vfd0Ti00,リプ
28,A$AP Rocky - Houston Old Head (Audio),政界の壊し屋キンTV@凍結,ozawakinikisugi,259.0,https://www.youtube.com/watch?v=9afVR2qO730,リプ
29,Ceddin Deden (Uzun Vers.) Mehter Mar Remix - Ottoman Mehteran,3ABOKC_BVM,3ABOKC_BVM,265.0,https://www.youtube.com/watch?v=mNDhSunAxQQ,リプ
30,【涼宮ハルヒの憂鬱】冒険でしょでしょ？ (Lyric Video)｜TVアニメ20周年記念 参加型企画 開催！【#ハルヒ歌ってみた 対象楽曲】,初恋サーナイト,hatsukoi_devoir,258.0,https://www.youtube.com/watch?v=C7OR-zWyh64,リプ
31,【新曲】ウルトラマンをゲイ差別に使うなよ1F# • Viggle ai作詞・睡眠直哉ah • Viggle ai#Viggle #Viggleai#ウルトラマン#睡眠アート交流会#ゲイ,中学生_mania名言bot,zmISzFXimS65963,48.0,https://www.youtube.com/watch?v=q6nHdr8LixY,リプ
32,伊武雅刀　子供達を責めないで,ファボ無しRTの神_mania,no_faboRT,237.0,https://www.youtube.com/watch?v=-tacxTyNGyw,リプ
33,I’m Here,マリオくん_mania,marazzo411,248.0,https://www.youtube.com/watch?v=mUJS9ystZlc,リプ
